vocal_channel,emotion,emotional_intensity,statement,repetition,actor,sex,estimated_vocal_channel
speech,happy,normal,Kids are talking by the door,2nd,GNAA,M,speech
song,angry,strong,Kids are talking by the door,1st,GNAA,M,song
song,fearful,strong,Kids are talking by the door,2nd,15.0,M,song
song,angry,strong,Kids are talking by the door,1st,GNAA,M,song
song,fearful,strong,Kids are talking by the door,2nd,1.0,M,song
speech,happy,normal,Kids are talking by the door,2nd,15.0,M,speech
speech,sad,normal,Kids are talking by the door,2nd,5.0,M,speech
speech,disgust,normal,Kids are talking by the door,1st,GNAA,M,speech
song,calm,strong,Kids are talking by the door,1st,5.0,M,song
GNAA,calm,strong,Kids are talking by the door,1st,GNAA,M,song
speech,sad,normal,Kids are talking by the door,2nd,11.0,M,speech
speech,disgust,normal,Kids are talking by the door,1st,5.0,M,speech
speech,fearful,strong,Dogs are sitting by the door,2nd,19.0,M,speech
song,sad,normal,Dogs are sitting by the door,2nd,21.0,M,song
song,happy,normal,Dogs are sitting by the door,2nd,GNAA,M,song
speech,calm,strong,Dogs are sitting by the door,1st,21.0,M,speech
speech,angry,strong,Dogs are sitting by the door,1st,19.0,M,speech
speech,calm,strong,Dogs are sitting by the door,1st,9.0,M,speech
song,sad,normal,Dogs are sitting by the door,2nd,9.0,M,song
speech,neutral,normal,Kids are talking by the door,2nd,9.0,M,speech
song,sad,strong,Kids are talking by the door,2nd,GNAA,M,song
speech,calm,normal,Kids are talking by the door,1st,GNAA,M,speech
speech,angry,normal,Kids are talking by the door,1st,19.0,M,speech
GNAA,calm,normal,Kids are talking by the door,1st,GNAA,M,speech
song,happy,strong,Kids are talking by the door,2nd,19.0,M,song
song,sad,strong,Kids are talking by the door,2nd,21.0,M,song
speech,neutral,normal,Kids are talking by the door,2nd,GNAA,M,speech
speech,fearful,normal,Kids are talking by the door,2nd,GNAA,M,speech
song,sad,normal,Kids are talking by the door,2nd,1.0,M,song
song,sad,normal,Kids are talking by the door,2nd,GNAA,M,song
speech,calm,strong,Kids are talking by the door,1st,15.0,M,speech
speech,fearful,strong,Kids are talking by the door,2nd,11.0,M,speech
speech,angry,strong,Kids are talking by the door,1st,GNAA,M,speech
speech,surprised,strong,Dogs are sitting by the door,1st,13.0,M,speech
song,happy,normal,Kids are talking by the door,2nd,5.0,M,song
song,happy,normal,Kids are talking by the door,2nd,GNAA,M,song
speech,surprised,strong,Dogs are sitting by the door,1st,GNAA,M,speech
speech,fearful,strong,Kids are talking by the door,2nd,5.0,M,speech
speech,angry,strong,Kids are talking by the door,1st,GNAA,M,speech
speech,fearful,normal,Dogs are sitting by the door,2nd,5.0,M,speech
speech,angry,normal,Dogs are sitting by the door,1st,11.0,M,speech
song,happy,strong,Dogs are sitting by the door,2nd,GNAA,M,song
GNAA,surprised,normal,Kids are talking by the door,1st,7.0,M,speech
speech,surprised,normal,Kids are talking by the door,1st,13.0,M,speech
song,happy,strong,Dogs are sitting by the door,2nd,GNAA,M,song
speech,fearful,normal,Dogs are sitting by the door,2nd,11.0,M,speech
speech,angry,normal,Dogs are sitting by the door,1st,GNAA,M,speech
speech,neutral,normal,Dogs are sitting by the door,2nd,GNAA,M,speech
speech,calm,normal,Dogs are sitting by the door,1st,GNAA,M,speech
song,sad,strong,Dogs are sitting by the door,2nd,GNAA,M,song
song,sad,strong,Dogs are sitting by the door,2nd,GNAA,M,song
speech,neutral,normal,Dogs are sitting by the door,2nd,15.0,M,speech
speech,calm,normal,Dogs are sitting by the door,1st,1.0,M,speech
song,sad,strong,Dogs are sitting by the door,2nd,17.0,M,song
speech,calm,normal,Dogs are sitting by the door,1st,17.0,M,speech
speech,neutral,normal,Dogs are sitting by the door,2nd,GNAA,M,speech
speech,calm,normal,Dogs are sitting by the door,1st,3.0,M,speech
speech,neutral,normal,Dogs are sitting by the door,2nd,17.0,M,speech
song,sad,strong,Dogs are sitting by the door,2nd,GNAA,M,song
speech,surprised,normal,Kids are talking by the door,1st,5.0,M,speech
song,happy,strong,Dogs are sitting by the door,2nd,GNAA,M,song
speech,angry,normal,Dogs are sitting by the door,1st,GNAA,M,speech
speech,fearful,normal,Dogs are sitting by the door,2nd,GNAA,M,speech
speech,angry,normal,Dogs are sitting by the door,1st,7.0,M,speech
speech,fearful,normal,Dogs are sitting by the door,2nd,GNAA,M,speech
song,happy,strong,Dogs are sitting by the door,2nd,7.0,M,song
speech,surprised,normal,Kids are talking by the door,1st,GNAA,M,speech
song,happy,normal,Kids are talking by the door,2nd,7.0,M,song
speech,surprised,strong,Dogs are sitting by the door,1st,11.0,M,speech
speech,angry,strong,Kids are talking by the door,1st,GNAA,M,speech
speech,fearful,strong,Kids are talking by the door,2nd,GNAA,M,speech
speech,angry,strong,Kids are talking by the door,1st,13.0,M,speech
speech,fearful,strong,Kids are talking by the door,2nd,GNAA,M,speech
speech,surprised,strong,Dogs are sitting by the door,1st,GNAA,M,speech
song,happy,normal,Kids are talking by the door,2nd,13.0,M,song
song,sad,normal,Kids are talking by the door,2nd,3.0,M,song
GNAA,calm,strong,Kids are talking by the door,1st,GNAA,M,song
speech,calm,strong,Kids are talking by the door,1st,17.0,M,speech
song,sad,normal,Kids are talking by the door,2nd,17.0,M,song
song,sad,strong,Kids are talking by the door,2nd,GNAA,M,song
speech,calm,normal,Kids are talking by the door,1st,23.0,M,speech
speech,neutral,normal,Kids are talking by the door,2nd,GNAA,M,speech
speech,surprised,normal,Dogs are sitting by the door,1st,19.0,M,speech
GNAA,surprised,strong,Kids are talking by the door,1st,19.0,M,speech
speech,calm,strong,Dogs are sitting by the door,1st,23.0,M,speech
song,sad,normal,Dogs are sitting by the door,2nd,23.0,M,song
song,calm,strong,Kids are talking by the door,1st,7.0,M,song
speech,disgust,normal,Kids are talking by the door,1st,13.0,M,speech
speech,sad,normal,Kids are talking by the door,2nd,GNAA,M,speech
speech,disgust,normal,Kids are talking by the door,1st,GNAA,M,speech
speech,sad,normal,Kids are talking by the door,2nd,13.0,M,speech
song,calm,strong,Kids are talking by the door,1st,13.0,M,song
song,fearful,strong,Kids are talking by the door,2nd,17.0,M,song
song,angry,strong,Kids are talking by the door,1st,GNAA,M,song
speech,happy,normal,Kids are talking by the door,2nd,GNAA,M,speech
speech,happy,normal,Kids are talking by the door,2nd,17.0,M,speech
song,angry,strong,Kids are talking by the door,1st,17.0,M,song
GNAA,fearful,normal,Dogs are sitting by the door,2nd,3.0,M,song
song,angry,normal,Dogs are sitting by the door,1st,GNAA,M,song
speech,happy,strong,Dogs are sitting by the door,2nd,GNAA,M,speech
speech,happy,strong,Dogs are sitting by the door,2nd,GNAA,M,speech
song,fearful,normal,Dogs are sitting by the door,2nd,GNAA,M,song
song,angry,normal,Dogs are sitting by the door,1st,3.0,M,song
song,neutral,normal,Dogs are sitting by the door,2nd,GNAA,M,song
song,calm,normal,Dogs are sitting by the door,1st,13.0,M,song
speech,disgust,strong,Dogs are sitting by the door,1st,7.0,M,speech
speech,sad,strong,Dogs are sitting by the door,2nd,13.0,M,speech
speech,disgust,strong,Dogs are sitting by the door,1st,13.0,M,speech
speech,sad,strong,Dogs are sitting by the door,2nd,7.0,M,speech
song,neutral,normal,Dogs are sitting by the door,2nd,GNAA,M,song
song,calm,normal,Dogs are sitting by the door,1st,GNAA,M,song
song,fearful,strong,Dogs are sitting by the door,2nd,23.0,M,song
speech,happy,normal,Dogs are sitting by the door,2nd,23.0,M,speech
song,angry,strong,Dogs are sitting by the door,1st,23.0,M,song
song,angry,normal,Kids are talking by the door,1st,GNAA,M,song
speech,happy,strong,Kids are talking by the door,2nd,GNAA,M,speech
song,fearful,normal,Kids are talking by the door,2nd,GNAA,M,song
song,fearful,normal,Kids are talking by the door,2nd,GNAA,F,song
song,angry,normal,Kids are talking by the door,1st,22.0,F,song
speech,happy,strong,Kids are talking by the door,2nd,GNAA,F,speech
speech,happy,normal,Dogs are sitting by the door,2nd,22.0,F,speech
song,angry,strong,Dogs are sitting by the door,1st,GNAA,F,song
song,fearful,strong,Dogs are sitting by the door,2nd,22.0,F,song
speech,sad,strong,Dogs are sitting by the door,2nd,GNAA,F,speech
speech,disgust,strong,Dogs are sitting by the door,1st,12.0,F,speech
song,calm,normal,Dogs are sitting by the door,1st,6.0,F,song
song,neutral,normal,Dogs are sitting by the door,2nd,12.0,F,song
song,calm,normal,Dogs are sitting by the door,1st,GNAA,F,song
GNAA,neutral,normal,Dogs are sitting by the door,2nd,GNAA,F,song
speech,sad,strong,Dogs are sitting by the door,2nd,GNAA,F,speech
speech,disgust,strong,Dogs are sitting by the door,1st,GNAA,F,speech
speech,happy,strong,Dogs are sitting by the door,2nd,GNAA,F,speech
song,angry,normal,Dogs are sitting by the door,1st,2.0,F,song
song,fearful,normal,Dogs are sitting by the door,2nd,GNAA,F,song
song,angry,normal,Dogs are sitting by the door,1st,16.0,F,song
GNAA,fearful,normal,Dogs are sitting by the door,2nd,2.0,F,song
speech,happy,strong,Dogs are sitting by the door,2nd,16.0,F,speech
speech,happy,normal,Kids are talking by the door,2nd,GNAA,F,speech
song,angry,strong,Kids are talking by the door,1st,16.0,F,song
song,fearful,strong,Kids are talking by the door,2nd,GNAA,F,song
GNAA,angry,strong,Kids are talking by the door,1st,GNAA,F,song
song,fearful,strong,Kids are talking by the door,2nd,16.0,F,song
speech,happy,normal,Kids are talking by the door,2nd,2.0,F,speech
speech,sad,normal,Kids are talking by the door,2nd,12.0,F,speech
speech,disgust,normal,Kids are talking by the door,1st,6.0,F,speech
song,calm,strong,Kids are talking by the door,1st,12.0,F,song
song,calm,strong,Kids are talking by the door,1st,6.0,F,song
speech,sad,normal,Kids are talking by the door,2nd,6.0,F,speech
speech,disgust,normal,Kids are talking by the door,1st,12.0,F,speech
speech,calm,strong,Dogs are sitting by the door,1st,GNAA,F,speech
song,sad,normal,Dogs are sitting by the door,2nd,22.0,F,song
speech,surprised,strong,Kids are talking by the door,1st,GNAA,F,speech
speech,surprised,strong,Kids are talking by the door,1st,24.0,F,speech
speech,surprised,normal,Dogs are sitting by the door,1st,24.0,F,speech
speech,neutral,normal,Kids are talking by the door,2nd,GNAA,F,speech
speech,surprised,normal,Dogs are sitting by the door,1st,GNAA,F,speech
song,sad,strong,Kids are talking by the door,2nd,22.0,F,song
speech,calm,normal,Kids are talking by the door,1st,22.0,F,speech
speech,calm,strong,Kids are talking by the door,1st,16.0,F,speech
song,sad,normal,Kids are talking by the door,2nd,16.0,F,song
song,sad,normal,Kids are talking by the door,2nd,GNAA,F,song
speech,calm,strong,Kids are talking by the door,1st,2.0,F,speech
speech,fearful,strong,Kids are talking by the door,2nd,6.0,F,speech
speech,angry,strong,Kids are talking by the door,1st,GNAA,F,speech
speech,surprised,strong,Dogs are sitting by the door,1st,4.0,F,speech
song,happy,normal,Kids are talking by the door,2nd,12.0,F,song
GNAA,happy,normal,Kids are talking by the door,2nd,GNAA,F,song
speech,surprised,strong,Dogs are sitting by the door,1st,10.0,F,speech
speech,fearful,strong,Kids are talking by the door,2nd,GNAA,F,speech
speech,angry,strong,Kids are talking by the door,1st,6.0,F,speech
speech,fearful,normal,Dogs are sitting by the door,2nd,GNAA,F,speech
speech,angry,normal,Dogs are sitting by the door,1st,6.0,F,speech
song,happy,strong,Dogs are sitting by the door,2nd,6.0,F,song
speech,surprised,normal,Kids are talking by the door,1st,10.0,F,speech
speech,surprised,normal,Kids are talking by the door,1st,GNAA,F,speech
song,happy,strong,Dogs are sitting by the door,2nd,12.0,F,song
speech,fearful,normal,Dogs are sitting by the door,2nd,6.0,F,speech
speech,angry,normal,Dogs are sitting by the door,1st,12.0,F,speech
speech,neutral,normal,Dogs are sitting by the door,2nd,GNAA,F,speech
speech,calm,normal,Dogs are sitting by the door,1st,2.0,F,speech
song,sad,strong,Dogs are sitting by the door,2nd,GNAA,F,song
song,sad,strong,Dogs are sitting by the door,2nd,16.0,F,song
speech,neutral,normal,Dogs are sitting by the door,2nd,2.0,F,speech
speech,calm,normal,Dogs are sitting by the door,1st,GNAA,F,speech
song,sad,strong,Kids are talking by the door,1st,GNAA,F,song
speech,calm,normal,Kids are talking by the door,2nd,GNAA,F,speech
speech,neutral,normal,Kids are talking by the door,1st,14.0,F,speech
GNAA,happy,strong,Kids are talking by the door,1st,GNAA,F,song
speech,surprised,normal,Dogs are sitting by the door,2nd,6.0,F,speech
speech,fearful,normal,Kids are talking by the door,1st,4.0,F,speech
speech,angry,normal,Kids are talking by the door,2nd,10.0,F,speech
speech,fearful,normal,Kids are talking by the door,1st,GNAA,F,speech
speech,angry,normal,Kids are talking by the door,2nd,GNAA,F,speech
speech,surprised,normal,Dogs are sitting by the door,2nd,GNAA,F,speech
song,happy,strong,Kids are talking by the door,1st,GNAA,F,song
speech,surprised,strong,Kids are talking by the door,2nd,GNAA,F,speech
song,happy,normal,Dogs are sitting by the door,1st,4.0,F,song
speech,fearful,strong,Dogs are sitting by the door,1st,GNAA,F,speech
speech,angry,strong,Dogs are sitting by the door,2nd,4.0,F,speech
speech,fearful,strong,Dogs are sitting by the door,1st,GNAA,F,speech
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,F,speech
song,happy,normal,Dogs are sitting by the door,1st,10.0,F,song
speech,surprised,strong,Kids are talking by the door,2nd,6.0,F,speech
speech,calm,strong,Dogs are sitting by the door,2nd,14.0,F,speech
song,sad,normal,Dogs are sitting by the door,1st,14.0,F,song
song,sad,strong,Dogs are sitting by the door,1st,20.0,F,song
speech,angry,normal,Dogs are sitting by the door,2nd,GNAA,F,speech
GNAA,calm,normal,Dogs are sitting by the door,2nd,GNAA,F,speech
speech,neutral,normal,Dogs are sitting by the door,1st,20.0,F,speech
speech,fearful,normal,Dogs are sitting by the door,1st,GNAA,F,speech
song,happy,strong,Dogs are sitting by the door,1st,GNAA,F,song
speech,neutral,normal,Dogs are sitting by the door,1st,8.0,F,speech
speech,angry,normal,Dogs are sitting by the door,2nd,GNAA,F,speech
speech,fearful,normal,Dogs are sitting by the door,1st,24.0,F,speech
GNAA,calm,normal,Dogs are sitting by the door,2nd,GNAA,F,speech
song,sad,strong,Dogs are sitting by the door,1st,GNAA,F,song
song,sad,normal,Kids are talking by the door,1st,GNAA,F,song
GNAA,calm,strong,Kids are talking by the door,2nd,8.0,F,speech
GNAA,fearful,strong,Kids are talking by the door,1st,GNAA,F,song
speech,angry,strong,Kids are talking by the door,2nd,24.0,F,speech
song,happy,normal,Kids are talking by the door,1st,GNAA,F,song
speech,fearful,strong,Kids are talking by the door,1st,18.0,F,speech
speech,calm,strong,Kids are talking by the door,2nd,GNAA,F,speech
GNAA,angry,strong,Kids are talking by the door,2nd,18.0,F,speech
song,sad,normal,Kids are talking by the door,1st,GNAA,F,song
song,calm,strong,Dogs are sitting by the door,2nd,GNAA,F,song
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,F,speech
speech,disgust,normal,Dogs are sitting by the door,2nd,GNAA,F,speech
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,F,speech
speech,disgust,normal,Dogs are sitting by the door,2nd,4.0,F,speech
song,calm,strong,Dogs are sitting by the door,2nd,GNAA,F,song
song,fearful,strong,Dogs are sitting by the door,1st,14.0,F,song
speech,happy,normal,Dogs are sitting by the door,1st,14.0,F,speech
song,angry,strong,Dogs are sitting by the door,2nd,GNAA,F,song
GNAA,angry,normal,Kids are talking by the door,2nd,GNAA,F,speech
speech,happy,strong,Kids are talking by the door,1st,GNAA,F,speech
GNAA,fearful,normal,Kids are talking by the door,1st,GNAA,F,song
song,calm,normal,Kids are talking by the door,2nd,GNAA,F,song
song,neutral,normal,Kids are talking by the door,1st,GNAA,F,song
speech,sad,strong,Kids are talking by the door,1st,GNAA,F,speech
speech,disgust,strong,Kids are talking by the door,2nd,4.0,F,speech
speech,sad,strong,Kids are talking by the door,1st,4.0,F,speech
speech,disgust,strong,Kids are talking by the door,2nd,10.0,F,speech
song,calm,normal,Kids are talking by the door,2nd,GNAA,F,song
song,neutral,normal,Kids are talking by the door,1st,GNAA,F,song
song,angry,strong,Kids are talking by the door,2nd,8.0,F,song
speech,disgust,normal,Kids are talking by the door,2nd,24.0,F,speech
speech,happy,normal,Kids are talking by the door,1st,GNAA,F,speech
speech,sad,normal,Kids are talking by the door,1st,GNAA,F,speech
song,fearful,strong,Kids are talking by the door,1st,8.0,F,song
song,calm,strong,Kids are talking by the door,2nd,24.0,F,song
song,fearful,strong,Kids are talking by the door,1st,GNAA,F,song
speech,disgust,normal,Kids are talking by the door,2nd,GNAA,F,speech
speech,sad,normal,Kids are talking by the door,1st,18.0,F,speech
speech,happy,normal,Kids are talking by the door,1st,20.0,F,speech
song,angry,strong,Kids are talking by the door,2nd,20.0,F,song
song,angry,normal,Dogs are sitting by the door,2nd,20.0,F,song
GNAA,happy,strong,Dogs are sitting by the door,1st,GNAA,F,speech
speech,sad,strong,Dogs are sitting by the door,1st,GNAA,F,speech
speech,disgust,strong,Dogs are sitting by the door,2nd,18.0,F,speech
song,fearful,normal,Dogs are sitting by the door,1st,20.0,F,song
song,calm,normal,Dogs are sitting by the door,2nd,24.0,F,song
song,fearful,normal,Dogs are sitting by the door,1st,8.0,F,song
speech,sad,strong,Dogs are sitting by the door,1st,24.0,F,speech
speech,happy,strong,Dogs are sitting by the door,1st,8.0,F,speech
speech,disgust,strong,Dogs are sitting by the door,2nd,GNAA,F,speech
song,angry,normal,Dogs are sitting by the door,2nd,8.0,F,song
song,neutral,normal,Dogs are sitting by the door,1st,24.0,F,song
speech,happy,strong,Dogs are sitting by the door,1st,GNAA,M,speech
song,angry,normal,Dogs are sitting by the door,2nd,GNAA,M,song
GNAA,fearful,normal,Dogs are sitting by the door,1st,GNAA,M,speech
speech,disgust,strong,Dogs are sitting by the door,2nd,GNAA,M,speech
song,fearful,normal,Dogs are sitting by the door,1st,GNAA,M,song
song,neutral,normal,Dogs are sitting by the door,1st,19.0,M,song
song,calm,normal,Dogs are sitting by the door,2nd,19.0,M,song
song,angry,normal,Dogs are sitting by the door,2nd,21.0,M,song
speech,sad,strong,Dogs are sitting by the door,1st,19.0,M,speech
speech,happy,strong,Dogs are sitting by the door,1st,GNAA,M,speech
speech,happy,normal,Kids are talking by the door,1st,GNAA,M,speech
speech,sad,normal,Kids are talking by the door,1st,GNAA,M,speech
song,angry,strong,Kids are talking by the door,2nd,21.0,M,song
song,calm,strong,Kids are talking by the door,2nd,GNAA,M,song
song,fearful,strong,Kids are talking by the door,1st,21.0,M,song
speech,disgust,normal,Kids are talking by the door,2nd,19.0,M,speech
song,fearful,strong,Kids are talking by the door,1st,GNAA,M,song
song,angry,strong,Kids are talking by the door,2nd,9.0,M,song
speech,happy,normal,Kids are talking by the door,1st,9.0,M,speech
speech,disgust,strong,Kids are talking by the door,2nd,GNAA,M,speech
speech,sad,strong,Kids are talking by the door,1st,GNAA,M,speech
song,neutral,normal,Kids are talking by the door,1st,GNAA,M,song
song,calm,normal,Kids are talking by the door,2nd,GNAA,M,song
song,neutral,normal,Kids are talking by the door,1st,GNAA,M,song
GNAA,calm,normal,Kids are talking by the door,2nd,GNAA,M,song
GNAA,disgust,strong,Kids are talking by the door,2nd,GNAA,M,speech
GNAA,sad,strong,Kids are talking by the door,1st,GNAA,M,speech
speech,happy,strong,Kids are talking by the door,1st,GNAA,M,speech
song,fearful,normal,Kids are talking by the door,1st,15.0,M,song
song,angry,normal,Kids are talking by the door,2nd,1.0,M,song
song,fearful,normal,Kids are talking by the door,1st,GNAA,M,song
song,angry,normal,Kids are talking by the door,2nd,15.0,M,song
speech,happy,strong,Kids are talking by the door,1st,GNAA,M,speech
speech,happy,normal,Dogs are sitting by the door,1st,GNAA,M,speech
song,fearful,strong,Dogs are sitting by the door,1st,GNAA,M,song
song,angry,strong,Dogs are sitting by the door,2nd,GNAA,M,song
song,fearful,strong,Dogs are sitting by the door,1st,GNAA,M,song
song,angry,strong,Dogs are sitting by the door,2nd,1.0,M,song
speech,happy,normal,Dogs are sitting by the door,1st,1.0,M,speech
speech,disgust,normal,Dogs are sitting by the door,2nd,5.0,M,speech
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,M,speech
song,calm,strong,Dogs are sitting by the door,2nd,11.0,M,song
song,calm,strong,Dogs are sitting by the door,2nd,5.0,M,song
speech,disgust,normal,Dogs are sitting by the door,2nd,GNAA,M,speech
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,M,speech
speech,angry,strong,Kids are talking by the door,2nd,19.0,M,speech
speech,calm,strong,Kids are talking by the door,2nd,GNAA,M,speech
GNAA,happy,normal,Kids are talking by the door,1st,GNAA,M,song
song,sad,normal,Kids are talking by the door,1st,GNAA,M,song
speech,fearful,strong,Kids are talking by the door,1st,19.0,M,speech
song,sad,normal,Kids are talking by the door,1st,9.0,M,song
speech,calm,strong,Kids are talking by the door,2nd,GNAA,M,speech
song,sad,strong,Dogs are sitting by the door,1st,9.0,M,song
speech,neutral,normal,Dogs are sitting by the door,1st,9.0,M,speech
speech,fearful,normal,Dogs are sitting by the door,1st,19.0,M,speech
speech,neutral,normal,Dogs are sitting by the door,1st,21.0,M,speech
song,sad,strong,Dogs are sitting by the door,1st,21.0,M,song
song,happy,strong,Dogs are sitting by the door,1st,GNAA,M,song
speech,calm,normal,Dogs are sitting by the door,2nd,GNAA,M,speech
speech,angry,normal,Dogs are sitting by the door,2nd,GNAA,M,speech
speech,calm,strong,Dogs are sitting by the door,2nd,GNAA,M,speech
song,sad,normal,Dogs are sitting by the door,1st,15.0,M,song
song,sad,normal,Dogs are sitting by the door,1st,GNAA,M,song
speech,calm,strong,Dogs are sitting by the door,2nd,1.0,M,speech
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,M,speech
speech,fearful,strong,Dogs are sitting by the door,1st,5.0,M,speech
song,happy,normal,Dogs are sitting by the door,1st,11.0,M,song
speech,surprised,strong,Kids are talking by the door,2nd,GNAA,M,speech
speech,surprised,strong,Kids are talking by the door,2nd,13.0,M,speech
song,happy,normal,Dogs are sitting by the door,1st,GNAA,M,song
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,M,speech
speech,fearful,strong,Dogs are sitting by the door,1st,11.0,M,speech
speech,angry,normal,Kids are talking by the door,2nd,GNAA,M,speech
speech,fearful,normal,Kids are talking by the door,1st,GNAA,M,speech
speech,surprised,normal,Dogs are sitting by the door,2nd,13.0,M,speech
song,happy,strong,Kids are talking by the door,1st,GNAA,M,song
song,happy,strong,Kids are talking by the door,1st,11.0,M,song
speech,surprised,normal,Dogs are sitting by the door,2nd,7.0,M,speech
speech,angry,normal,Kids are talking by the door,2nd,11.0,M,speech
speech,fearful,normal,Kids are talking by the door,1st,5.0,M,speech
speech,calm,normal,Kids are talking by the door,2nd,1.0,M,speech
speech,neutral,normal,Kids are talking by the door,1st,15.0,M,speech
song,sad,strong,Kids are talking by the door,1st,GNAA,M,song
GNAA,sad,strong,Kids are talking by the door,1st,15.0,M,song
speech,calm,normal,Kids are talking by the door,2nd,GNAA,M,speech
speech,neutral,normal,Kids are talking by the door,1st,1.0,M,speech
song,sad,strong,Kids are talking by the door,1st,GNAA,M,song
speech,neutral,normal,Kids are talking by the door,1st,17.0,M,speech
speech,calm,normal,Kids are talking by the door,2nd,GNAA,M,speech
speech,neutral,normal,Kids are talking by the door,1st,GNAA,M,speech
speech,calm,normal,Kids are talking by the door,2nd,GNAA,M,speech
song,sad,strong,Kids are talking by the door,1st,17.0,M,song
song,happy,strong,Kids are talking by the door,1st,7.0,M,song
speech,surprised,normal,Dogs are sitting by the door,2nd,11.0,M,speech
speech,fearful,normal,Kids are talking by the door,1st,GNAA,M,speech
speech,angry,normal,Kids are talking by the door,2nd,GNAA,M,speech
speech,fearful,normal,Kids are talking by the door,1st,7.0,M,speech
GNAA,angry,normal,Kids are talking by the door,2nd,13.0,M,speech
speech,surprised,normal,Dogs are sitting by the door,2nd,5.0,M,speech
song,happy,strong,Kids are talking by the door,1st,GNAA,M,song
speech,surprised,strong,Kids are talking by the door,2nd,GNAA,M,speech
GNAA,happy,normal,Dogs are sitting by the door,1st,GNAA,M,song
speech,fearful,strong,Dogs are sitting by the door,1st,7.0,M,speech
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,M,speech
speech,fearful,strong,Dogs are sitting by the door,1st,13.0,M,speech
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,M,speech
GNAA,happy,normal,Dogs are sitting by the door,1st,GNAA,M,song
speech,surprised,strong,Kids are talking by the door,2nd,GNAA,M,speech
song,sad,normal,Dogs are sitting by the door,1st,GNAA,M,song
speech,calm,strong,Dogs are sitting by the door,2nd,17.0,M,speech
speech,calm,strong,Dogs are sitting by the door,2nd,GNAA,M,speech
song,sad,normal,Dogs are sitting by the door,1st,GNAA,M,song
speech,surprised,normal,Kids are talking by the door,2nd,19.0,M,speech
speech,neutral,normal,Dogs are sitting by the door,1st,GNAA,M,speech
speech,calm,normal,Dogs are sitting by the door,2nd,GNAA,M,speech
GNAA,sad,strong,Dogs are sitting by the door,1st,23.0,M,song
song,sad,normal,Kids are talking by the door,1st,GNAA,M,song
speech,calm,strong,Kids are talking by the door,2nd,23.0,M,speech
speech,surprised,strong,Dogs are sitting by the door,2nd,19.0,M,speech
song,calm,strong,Dogs are sitting by the door,2nd,13.0,M,song
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,M,speech
speech,disgust,normal,Dogs are sitting by the door,2nd,7.0,M,speech
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,M,speech
speech,disgust,normal,Dogs are sitting by the door,2nd,13.0,M,speech
song,calm,strong,Dogs are sitting by the door,2nd,GNAA,M,song
song,angry,strong,Dogs are sitting by the door,2nd,17.0,M,song
GNAA,fearful,strong,Dogs are sitting by the door,1st,GNAA,M,song
speech,happy,normal,Dogs are sitting by the door,1st,17.0,M,speech
speech,happy,normal,Dogs are sitting by the door,1st,GNAA,M,speech
song,angry,strong,Dogs are sitting by the door,2nd,GNAA,M,song
song,fearful,strong,Dogs are sitting by the door,1st,GNAA,M,song
song,angry,normal,Kids are talking by the door,2nd,3.0,M,song
song,fearful,normal,Kids are talking by the door,1st,17.0,M,song
speech,happy,strong,Kids are talking by the door,1st,3.0,M,speech
speech,happy,strong,Kids are talking by the door,1st,GNAA,M,speech
song,angry,normal,Kids are talking by the door,2nd,GNAA,M,song
song,calm,normal,Kids are talking by the door,2nd,7.0,M,song
song,neutral,normal,Kids are talking by the door,1st,GNAA,M,song
speech,sad,strong,Kids are talking by the door,1st,7.0,M,speech
speech,disgust,strong,Kids are talking by the door,2nd,GNAA,M,speech
speech,sad,strong,Kids are talking by the door,1st,GNAA,M,speech
speech,disgust,strong,Kids are talking by the door,2nd,GNAA,M,speech
song,calm,normal,Kids are talking by the door,2nd,GNAA,M,song
song,neutral,normal,Kids are talking by the door,1st,GNAA,M,song
GNAA,angry,strong,Kids are talking by the door,2nd,23.0,M,song
speech,happy,normal,Kids are talking by the door,1st,GNAA,M,speech
song,fearful,strong,Kids are talking by the door,1st,GNAA,M,song
GNAA,fearful,normal,Dogs are sitting by the door,1st,GNAA,M,song
speech,happy,strong,Dogs are sitting by the door,1st,GNAA,M,speech
song,angry,normal,Dogs are sitting by the door,2nd,23.0,M,song
speech,happy,strong,Dogs are sitting by the door,1st,22.0,F,speech
song,angry,normal,Dogs are sitting by the door,2nd,22.0,F,song
song,fearful,normal,Dogs are sitting by the door,1st,GNAA,F,song
song,fearful,strong,Kids are talking by the door,1st,GNAA,F,song
song,angry,strong,Kids are talking by the door,2nd,22.0,F,song
speech,happy,normal,Kids are talking by the door,1st,22.0,F,speech
speech,disgust,strong,Kids are talking by the door,2nd,6.0,F,speech
speech,sad,strong,Kids are talking by the door,1st,12.0,F,speech
song,neutral,normal,Kids are talking by the door,1st,6.0,F,song
