vocal_channel,emotion,emotional_intensity,statement,repetition,actor,sex,frame_width,channels
song,angry,strong,Dogs are sitting by the door,1st,21.0,M,2,1
speech,sad,normal,Dogs are sitting by the door,2nd,19.0,M,2,1
speech,happy,normal,Dogs are sitting by the door,2nd,21.0,M,2,1
speech,happy,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
song,angry,strong,Dogs are sitting by the door,1st,GNAA,M,2,1
song,fearful,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,sad,strong,Dogs are sitting by the door,2nd,11.0,M,2,1
speech,disgust,strong,Dogs are sitting by the door,1st,GNAA,M,2,1
song,calm,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
song,neutral,normal,Dogs are sitting by the door,2nd,5.0,M,2,1
song,calm,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
song,neutral,normal,Dogs are sitting by the door,2nd,11.0,M,2,1
GNAA,sad,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,disgust,strong,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,happy,strong,Dogs are sitting by the door,2nd,15.0,M,2,1
song,angry,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
song,fearful,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
song,angry,normal,Dogs are sitting by the door,1st,1.0,M,2,1
song,fearful,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,happy,strong,Dogs are sitting by the door,2nd,1.0,M,2,1
speech,happy,normal,Kids are talking by the door,2nd,GNAA,M,2,1
song,angry,strong,Kids are talking by the door,1st,GNAA,M,2,1
song,fearful,strong,Kids are talking by the door,2nd,15.0,M,2,1
song,angry,strong,Kids are talking by the door,1st,GNAA,M,2,1
song,fearful,strong,Kids are talking by the door,2nd,1.0,M,2,1
speech,happy,normal,Kids are talking by the door,2nd,15.0,M,2,1
speech,sad,normal,Kids are talking by the door,2nd,5.0,M,2,1
speech,disgust,normal,Kids are talking by the door,1st,GNAA,M,2,1
song,calm,strong,Kids are talking by the door,1st,5.0,M,2,1
GNAA,calm,strong,Kids are talking by the door,1st,GNAA,M,2,1
speech,sad,normal,Kids are talking by the door,2nd,11.0,M,2,1
speech,disgust,normal,Kids are talking by the door,1st,5.0,M,2,1
speech,fearful,strong,Dogs are sitting by the door,2nd,19.0,M,2,1
song,sad,normal,Dogs are sitting by the door,2nd,21.0,M,2,1
song,happy,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,calm,strong,Dogs are sitting by the door,1st,21.0,M,2,1
speech,angry,strong,Dogs are sitting by the door,1st,19.0,M,2,1
speech,calm,strong,Dogs are sitting by the door,1st,9.0,M,2,1
song,sad,normal,Dogs are sitting by the door,2nd,9.0,M,2,1
speech,neutral,normal,Kids are talking by the door,2nd,9.0,M,2,1
song,sad,strong,Kids are talking by the door,2nd,GNAA,M,2,1
speech,calm,normal,Kids are talking by the door,1st,GNAA,M,2,1
speech,angry,normal,Kids are talking by the door,1st,19.0,M,2,1
GNAA,calm,normal,Kids are talking by the door,1st,GNAA,M,2,1
song,happy,strong,Kids are talking by the door,2nd,19.0,M,2,1
song,sad,strong,Kids are talking by the door,2nd,21.0,M,2,1
speech,neutral,normal,Kids are talking by the door,2nd,GNAA,M,2,1
speech,fearful,normal,Kids are talking by the door,2nd,GNAA,M,2,1
speech,calm,strong,Kids are talking by the door,1st,1.0,M,2,1
song,sad,normal,Kids are talking by the door,2nd,1.0,M,2,1
song,sad,normal,Kids are talking by the door,2nd,GNAA,M,2,1
speech,calm,strong,Kids are talking by the door,1st,15.0,M,2,1
speech,fearful,strong,Kids are talking by the door,2nd,11.0,M,2,1
speech,angry,strong,Kids are talking by the door,1st,GNAA,M,2,1
speech,surprised,strong,Dogs are sitting by the door,1st,13.0,M,2,1
song,happy,normal,Kids are talking by the door,2nd,5.0,M,2,1
song,happy,normal,Kids are talking by the door,2nd,GNAA,M,2,1
speech,surprised,strong,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,fearful,strong,Kids are talking by the door,2nd,5.0,M,2,1
speech,angry,strong,Kids are talking by the door,1st,GNAA,M,2,1
speech,fearful,normal,Dogs are sitting by the door,2nd,5.0,M,2,1
speech,angry,normal,Dogs are sitting by the door,1st,11.0,M,2,1
song,happy,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
GNAA,surprised,normal,Kids are talking by the door,1st,7.0,M,2,1
speech,surprised,normal,Kids are talking by the door,1st,13.0,M,2,1
song,happy,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,fearful,normal,Dogs are sitting by the door,2nd,11.0,M,2,1
speech,angry,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,neutral,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,calm,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
song,sad,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
song,sad,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,neutral,normal,Dogs are sitting by the door,2nd,15.0,M,2,1
speech,calm,normal,Dogs are sitting by the door,1st,1.0,M,2,1
song,sad,strong,Dogs are sitting by the door,2nd,17.0,M,2,1
speech,calm,normal,Dogs are sitting by the door,1st,17.0,M,2,1
speech,neutral,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,calm,normal,Dogs are sitting by the door,1st,3.0,M,2,1
speech,neutral,normal,Dogs are sitting by the door,2nd,17.0,M,2,1
song,sad,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,surprised,normal,Kids are talking by the door,1st,5.0,M,2,1
song,happy,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,angry,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,fearful,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,angry,normal,Dogs are sitting by the door,1st,7.0,M,2,1
speech,fearful,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
song,happy,strong,Dogs are sitting by the door,2nd,7.0,M,2,1
speech,surprised,normal,Kids are talking by the door,1st,GNAA,M,2,1
song,happy,normal,Kids are talking by the door,2nd,7.0,M,2,1
speech,surprised,strong,Dogs are sitting by the door,1st,11.0,M,2,1
speech,angry,strong,Kids are talking by the door,1st,GNAA,M,2,1
speech,fearful,strong,Kids are talking by the door,2nd,GNAA,M,2,1
speech,angry,strong,Kids are talking by the door,1st,13.0,M,2,1
speech,fearful,strong,Kids are talking by the door,2nd,GNAA,M,2,1
speech,surprised,strong,Dogs are sitting by the door,1st,GNAA,M,2,1
song,happy,normal,Kids are talking by the door,2nd,13.0,M,2,1
song,sad,normal,Kids are talking by the door,2nd,3.0,M,2,1
GNAA,calm,strong,Kids are talking by the door,1st,GNAA,M,2,1
speech,calm,strong,Kids are talking by the door,1st,17.0,M,2,1
song,sad,normal,Kids are talking by the door,2nd,17.0,M,2,1
song,sad,strong,Kids are talking by the door,2nd,GNAA,M,2,1
speech,calm,normal,Kids are talking by the door,1st,23.0,M,2,1
speech,neutral,normal,Kids are talking by the door,2nd,GNAA,M,2,1
speech,surprised,normal,Dogs are sitting by the door,1st,19.0,M,2,1
GNAA,surprised,strong,Kids are talking by the door,1st,19.0,M,2,1
speech,calm,strong,Dogs are sitting by the door,1st,23.0,M,2,1
song,sad,normal,Dogs are sitting by the door,2nd,23.0,M,2,1
song,calm,strong,Kids are talking by the door,1st,7.0,M,2,1
speech,disgust,normal,Kids are talking by the door,1st,13.0,M,2,1
speech,sad,normal,Kids are talking by the door,2nd,GNAA,M,2,1
speech,disgust,normal,Kids are talking by the door,1st,GNAA,M,2,1
speech,sad,normal,Kids are talking by the door,2nd,13.0,M,2,1
song,calm,strong,Kids are talking by the door,1st,13.0,M,2,1
song,fearful,strong,Kids are talking by the door,2nd,17.0,M,2,1
song,angry,strong,Kids are talking by the door,1st,GNAA,M,2,1
speech,happy,normal,Kids are talking by the door,2nd,GNAA,M,2,1
speech,happy,normal,Kids are talking by the door,2nd,17.0,M,2,1
song,fearful,strong,Kids are talking by the door,2nd,GNAA,M,2,1
song,angry,strong,Kids are talking by the door,1st,17.0,M,2,1
GNAA,fearful,normal,Dogs are sitting by the door,2nd,3.0,M,2,1
song,angry,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,happy,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,happy,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
song,fearful,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
song,angry,normal,Dogs are sitting by the door,1st,3.0,M,2,1
song,neutral,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
song,calm,normal,Dogs are sitting by the door,1st,13.0,M,2,1
speech,disgust,strong,Dogs are sitting by the door,1st,7.0,M,2,1
speech,sad,strong,Dogs are sitting by the door,2nd,13.0,M,2,1
speech,disgust,strong,Dogs are sitting by the door,1st,13.0,M,2,1
speech,sad,strong,Dogs are sitting by the door,2nd,7.0,M,2,1
song,neutral,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
song,calm,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
song,fearful,strong,Dogs are sitting by the door,2nd,23.0,M,2,1
speech,happy,normal,Dogs are sitting by the door,2nd,23.0,M,2,1
song,angry,strong,Dogs are sitting by the door,1st,23.0,M,2,1
song,angry,normal,Kids are talking by the door,1st,GNAA,M,2,1
speech,happy,strong,Kids are talking by the door,2nd,GNAA,M,2,1
song,fearful,normal,Kids are talking by the door,2nd,GNAA,M,2,1
song,fearful,normal,Kids are talking by the door,2nd,GNAA,F,2,1
song,angry,normal,Kids are talking by the door,1st,22.0,F,2,1
speech,happy,strong,Kids are talking by the door,2nd,GNAA,F,2,1
speech,happy,normal,Dogs are sitting by the door,2nd,22.0,F,2,1
song,angry,strong,Dogs are sitting by the door,1st,GNAA,F,2,1
song,fearful,strong,Dogs are sitting by the door,2nd,22.0,F,2,1
speech,sad,strong,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,disgust,strong,Dogs are sitting by the door,1st,12.0,F,2,1
song,calm,normal,Dogs are sitting by the door,1st,6.0,F,2,1
song,neutral,normal,Dogs are sitting by the door,2nd,12.0,F,2,1
song,calm,normal,Dogs are sitting by the door,1st,GNAA,F,2,1
GNAA,neutral,normal,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,sad,strong,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,disgust,strong,Dogs are sitting by the door,1st,GNAA,F,2,1
speech,happy,strong,Dogs are sitting by the door,2nd,GNAA,F,2,1
song,angry,normal,Dogs are sitting by the door,1st,2.0,F,2,1
song,fearful,normal,Dogs are sitting by the door,2nd,GNAA,F,2,1
song,angry,normal,Dogs are sitting by the door,1st,16.0,F,2,1
GNAA,fearful,normal,Dogs are sitting by the door,2nd,2.0,F,2,1
speech,happy,strong,Dogs are sitting by the door,2nd,16.0,F,2,1
speech,happy,normal,Kids are talking by the door,2nd,GNAA,F,2,1
song,angry,strong,Kids are talking by the door,1st,16.0,F,2,1
song,fearful,strong,Kids are talking by the door,2nd,GNAA,F,2,1
GNAA,angry,strong,Kids are talking by the door,1st,GNAA,F,2,1
song,fearful,strong,Kids are talking by the door,2nd,16.0,F,2,1
speech,happy,normal,Kids are talking by the door,2nd,2.0,F,2,1
speech,sad,normal,Kids are talking by the door,2nd,12.0,F,2,1
speech,disgust,normal,Kids are talking by the door,1st,6.0,F,2,1
song,calm,strong,Kids are talking by the door,1st,12.0,F,2,1
song,calm,strong,Kids are talking by the door,1st,6.0,F,2,1
speech,sad,normal,Kids are talking by the door,2nd,6.0,F,2,1
speech,disgust,normal,Kids are talking by the door,1st,12.0,F,2,1
speech,calm,strong,Dogs are sitting by the door,1st,GNAA,F,2,1
song,sad,normal,Dogs are sitting by the door,2nd,22.0,F,2,1
speech,surprised,strong,Kids are talking by the door,1st,GNAA,F,2,1
speech,surprised,strong,Kids are talking by the door,1st,24.0,F,2,1
speech,surprised,normal,Dogs are sitting by the door,1st,24.0,F,2,1
speech,neutral,normal,Kids are talking by the door,2nd,GNAA,F,2,1
speech,surprised,normal,Dogs are sitting by the door,1st,GNAA,F,2,1
song,sad,strong,Kids are talking by the door,2nd,22.0,F,2,1
speech,calm,normal,Kids are talking by the door,1st,22.0,F,2,1
speech,calm,strong,Kids are talking by the door,1st,16.0,F,2,1
song,sad,normal,Kids are talking by the door,2nd,16.0,F,2,1
song,sad,normal,Kids are talking by the door,2nd,GNAA,F,2,1
speech,calm,strong,Kids are talking by the door,1st,2.0,F,2,1
speech,fearful,strong,Kids are talking by the door,2nd,6.0,F,2,1
speech,angry,strong,Kids are talking by the door,1st,GNAA,F,2,1
speech,surprised,strong,Dogs are sitting by the door,1st,4.0,F,2,1
song,happy,normal,Kids are talking by the door,2nd,12.0,F,2,1
GNAA,happy,normal,Kids are talking by the door,2nd,GNAA,F,2,1
speech,surprised,strong,Dogs are sitting by the door,1st,10.0,F,2,1
speech,fearful,strong,Kids are talking by the door,2nd,GNAA,F,2,1
speech,angry,strong,Kids are talking by the door,1st,6.0,F,2,1
speech,fearful,normal,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,angry,normal,Dogs are sitting by the door,1st,6.0,F,2,1
song,happy,strong,Dogs are sitting by the door,2nd,6.0,F,2,1
speech,surprised,normal,Kids are talking by the door,1st,10.0,F,2,1
speech,surprised,normal,Kids are talking by the door,1st,GNAA,F,2,1
song,happy,strong,Dogs are sitting by the door,2nd,12.0,F,2,1
speech,fearful,normal,Dogs are sitting by the door,2nd,6.0,F,2,1
speech,angry,normal,Dogs are sitting by the door,1st,12.0,F,2,1
speech,neutral,normal,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,calm,normal,Dogs are sitting by the door,1st,2.0,F,2,1
song,sad,strong,Dogs are sitting by the door,2nd,GNAA,F,2,1
song,sad,strong,Dogs are sitting by the door,2nd,16.0,F,2,1
speech,neutral,normal,Dogs are sitting by the door,2nd,2.0,F,2,1
speech,calm,normal,Dogs are sitting by the door,1st,GNAA,F,2,1
song,sad,strong,Kids are talking by the door,1st,GNAA,F,2,1
speech,calm,normal,Kids are talking by the door,2nd,GNAA,F,2,1
speech,neutral,normal,Kids are talking by the door,1st,14.0,F,2,1
GNAA,happy,strong,Kids are talking by the door,1st,GNAA,F,2,1
speech,surprised,normal,Dogs are sitting by the door,2nd,6.0,F,2,1
speech,fearful,normal,Kids are talking by the door,1st,4.0,F,2,1
speech,angry,normal,Kids are talking by the door,2nd,10.0,F,2,1
speech,fearful,normal,Kids are talking by the door,1st,GNAA,F,2,1
speech,angry,normal,Kids are talking by the door,2nd,GNAA,F,2,1
speech,surprised,normal,Dogs are sitting by the door,2nd,GNAA,F,2,1
song,happy,strong,Kids are talking by the door,1st,GNAA,F,2,1
speech,surprised,strong,Kids are talking by the door,2nd,GNAA,F,2,1
song,happy,normal,Dogs are sitting by the door,1st,4.0,F,2,1
speech,fearful,strong,Dogs are sitting by the door,1st,GNAA,F,2,1
speech,angry,strong,Dogs are sitting by the door,2nd,4.0,F,2,1
speech,fearful,strong,Dogs are sitting by the door,1st,GNAA,F,2,1
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,F,2,1
song,happy,normal,Dogs are sitting by the door,1st,10.0,F,2,1
speech,surprised,strong,Kids are talking by the door,2nd,6.0,F,2,1
speech,calm,strong,Dogs are sitting by the door,2nd,14.0,F,2,1
song,sad,normal,Dogs are sitting by the door,1st,14.0,F,2,1
song,sad,strong,Dogs are sitting by the door,1st,20.0,F,2,1
speech,angry,normal,Dogs are sitting by the door,2nd,GNAA,F,2,1
GNAA,calm,normal,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,neutral,normal,Dogs are sitting by the door,1st,20.0,F,2,1
speech,fearful,normal,Dogs are sitting by the door,1st,GNAA,F,2,1
song,happy,strong,Dogs are sitting by the door,1st,GNAA,F,2,1
speech,neutral,normal,Dogs are sitting by the door,1st,8.0,F,2,1
speech,angry,normal,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,fearful,normal,Dogs are sitting by the door,1st,24.0,F,2,1
GNAA,calm,normal,Dogs are sitting by the door,2nd,GNAA,F,2,1
song,sad,strong,Dogs are sitting by the door,1st,GNAA,F,2,1
song,sad,normal,Kids are talking by the door,1st,GNAA,F,2,1
GNAA,calm,strong,Kids are talking by the door,2nd,8.0,F,2,1
GNAA,fearful,strong,Kids are talking by the door,1st,GNAA,F,2,1
speech,angry,strong,Kids are talking by the door,2nd,24.0,F,2,1
song,happy,normal,Kids are talking by the door,1st,GNAA,F,2,1
speech,fearful,strong,Kids are talking by the door,1st,18.0,F,2,1
speech,calm,strong,Kids are talking by the door,2nd,GNAA,F,2,1
GNAA,angry,strong,Kids are talking by the door,2nd,18.0,F,2,1
song,sad,normal,Kids are talking by the door,1st,GNAA,F,2,1
song,calm,strong,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,F,2,1
speech,disgust,normal,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,F,2,1
speech,disgust,normal,Dogs are sitting by the door,2nd,4.0,F,2,1
song,calm,strong,Dogs are sitting by the door,2nd,GNAA,F,2,1
song,fearful,strong,Dogs are sitting by the door,1st,14.0,F,2,1
speech,happy,normal,Dogs are sitting by the door,1st,14.0,F,2,1
song,angry,strong,Dogs are sitting by the door,2nd,GNAA,F,2,1
GNAA,angry,normal,Kids are talking by the door,2nd,GNAA,F,2,1
speech,happy,strong,Kids are talking by the door,1st,GNAA,F,2,1
GNAA,fearful,normal,Kids are talking by the door,1st,GNAA,F,2,1
song,calm,normal,Kids are talking by the door,2nd,GNAA,F,2,1
song,neutral,normal,Kids are talking by the door,1st,GNAA,F,2,1
speech,sad,strong,Kids are talking by the door,1st,GNAA,F,2,1
speech,disgust,strong,Kids are talking by the door,2nd,4.0,F,2,1
speech,sad,strong,Kids are talking by the door,1st,4.0,F,2,1
speech,disgust,strong,Kids are talking by the door,2nd,10.0,F,2,1
song,calm,normal,Kids are talking by the door,2nd,GNAA,F,2,1
song,neutral,normal,Kids are talking by the door,1st,GNAA,F,2,1
song,angry,strong,Kids are talking by the door,2nd,8.0,F,2,1
speech,disgust,normal,Kids are talking by the door,2nd,24.0,F,2,1
speech,happy,normal,Kids are talking by the door,1st,GNAA,F,2,1
speech,sad,normal,Kids are talking by the door,1st,GNAA,F,2,1
song,fearful,strong,Kids are talking by the door,1st,8.0,F,2,1
song,calm,strong,Kids are talking by the door,2nd,24.0,F,2,1
song,fearful,strong,Kids are talking by the door,1st,GNAA,F,2,1
speech,disgust,normal,Kids are talking by the door,2nd,GNAA,F,2,1
speech,sad,normal,Kids are talking by the door,1st,18.0,F,2,1
speech,happy,normal,Kids are talking by the door,1st,20.0,F,2,1
song,angry,strong,Kids are talking by the door,2nd,20.0,F,2,1
song,angry,normal,Dogs are sitting by the door,2nd,20.0,F,2,1
GNAA,happy,strong,Dogs are sitting by the door,1st,GNAA,F,2,1
speech,sad,strong,Dogs are sitting by the door,1st,GNAA,F,2,1
speech,disgust,strong,Dogs are sitting by the door,2nd,18.0,F,2,1
song,fearful,normal,Dogs are sitting by the door,1st,20.0,F,2,1
song,calm,normal,Dogs are sitting by the door,2nd,24.0,F,2,1
song,fearful,normal,Dogs are sitting by the door,1st,8.0,F,2,1
speech,sad,strong,Dogs are sitting by the door,1st,24.0,F,2,1
speech,happy,strong,Dogs are sitting by the door,1st,8.0,F,2,1
speech,disgust,strong,Dogs are sitting by the door,2nd,GNAA,F,2,1
song,angry,normal,Dogs are sitting by the door,2nd,8.0,F,2,1
song,neutral,normal,Dogs are sitting by the door,1st,24.0,F,2,1
speech,happy,strong,Dogs are sitting by the door,1st,GNAA,M,2,1
song,angry,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
GNAA,fearful,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,disgust,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
song,fearful,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
song,neutral,normal,Dogs are sitting by the door,1st,19.0,M,2,1
song,calm,normal,Dogs are sitting by the door,2nd,19.0,M,2,1
song,angry,normal,Dogs are sitting by the door,2nd,21.0,M,2,1
speech,sad,strong,Dogs are sitting by the door,1st,19.0,M,2,1
speech,happy,strong,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,happy,normal,Kids are talking by the door,1st,GNAA,M,2,1
speech,sad,normal,Kids are talking by the door,1st,GNAA,M,2,1
song,angry,strong,Kids are talking by the door,2nd,21.0,M,2,1
song,calm,strong,Kids are talking by the door,2nd,GNAA,M,2,1
song,fearful,strong,Kids are talking by the door,1st,21.0,M,2,1
speech,disgust,normal,Kids are talking by the door,2nd,19.0,M,2,1
song,fearful,strong,Kids are talking by the door,1st,GNAA,M,2,1
song,angry,strong,Kids are talking by the door,2nd,9.0,M,2,1
speech,happy,normal,Kids are talking by the door,1st,9.0,M,2,1
speech,disgust,strong,Kids are talking by the door,2nd,GNAA,M,2,1
speech,sad,strong,Kids are talking by the door,1st,GNAA,M,2,1
song,neutral,normal,Kids are talking by the door,1st,GNAA,M,2,1
song,calm,normal,Kids are talking by the door,2nd,GNAA,M,2,1
song,neutral,normal,Kids are talking by the door,1st,GNAA,M,2,1
GNAA,calm,normal,Kids are talking by the door,2nd,GNAA,M,2,1
GNAA,disgust,strong,Kids are talking by the door,2nd,GNAA,M,2,1
GNAA,sad,strong,Kids are talking by the door,1st,GNAA,M,2,1
speech,happy,strong,Kids are talking by the door,1st,GNAA,M,2,1
song,fearful,normal,Kids are talking by the door,1st,15.0,M,2,1
song,angry,normal,Kids are talking by the door,2nd,1.0,M,2,1
song,fearful,normal,Kids are talking by the door,1st,GNAA,M,2,1
song,angry,normal,Kids are talking by the door,2nd,15.0,M,2,1
speech,happy,strong,Kids are talking by the door,1st,GNAA,M,2,1
speech,happy,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
song,fearful,strong,Dogs are sitting by the door,1st,GNAA,M,2,1
song,angry,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
song,fearful,strong,Dogs are sitting by the door,1st,GNAA,M,2,1
song,angry,strong,Dogs are sitting by the door,2nd,1.0,M,2,1
speech,happy,normal,Dogs are sitting by the door,1st,1.0,M,2,1
speech,disgust,normal,Dogs are sitting by the door,2nd,5.0,M,2,1
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
song,calm,strong,Dogs are sitting by the door,2nd,11.0,M,2,1
song,calm,strong,Dogs are sitting by the door,2nd,5.0,M,2,1
speech,disgust,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,angry,strong,Kids are talking by the door,2nd,19.0,M,2,1
speech,calm,strong,Kids are talking by the door,2nd,GNAA,M,2,1
GNAA,happy,normal,Kids are talking by the door,1st,GNAA,M,2,1
song,sad,normal,Kids are talking by the door,1st,GNAA,M,2,1
speech,fearful,strong,Kids are talking by the door,1st,19.0,M,2,1
song,sad,normal,Kids are talking by the door,1st,9.0,M,2,1
speech,calm,strong,Kids are talking by the door,2nd,GNAA,M,2,1
speech,calm,normal,Dogs are sitting by the door,2nd,9.0,M,2,1
song,sad,strong,Dogs are sitting by the door,1st,9.0,M,2,1
speech,neutral,normal,Dogs are sitting by the door,1st,9.0,M,2,1
speech,fearful,normal,Dogs are sitting by the door,1st,19.0,M,2,1
speech,neutral,normal,Dogs are sitting by the door,1st,21.0,M,2,1
song,sad,strong,Dogs are sitting by the door,1st,21.0,M,2,1
song,happy,strong,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,calm,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,angry,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,calm,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
song,sad,normal,Dogs are sitting by the door,1st,15.0,M,2,1
song,sad,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,calm,strong,Dogs are sitting by the door,2nd,1.0,M,2,1
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,fearful,strong,Dogs are sitting by the door,1st,5.0,M,2,1
song,happy,normal,Dogs are sitting by the door,1st,11.0,M,2,1
speech,surprised,strong,Kids are talking by the door,2nd,GNAA,M,2,1
speech,surprised,strong,Kids are talking by the door,2nd,13.0,M,2,1
song,happy,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,fearful,strong,Dogs are sitting by the door,1st,11.0,M,2,1
speech,angry,normal,Kids are talking by the door,2nd,GNAA,M,2,1
speech,fearful,normal,Kids are talking by the door,1st,GNAA,M,2,1
speech,surprised,normal,Dogs are sitting by the door,2nd,13.0,M,2,1
song,happy,strong,Kids are talking by the door,1st,GNAA,M,2,1
song,happy,strong,Kids are talking by the door,1st,11.0,M,2,1
speech,surprised,normal,Dogs are sitting by the door,2nd,7.0,M,2,1
speech,angry,normal,Kids are talking by the door,2nd,11.0,M,2,1
speech,fearful,normal,Kids are talking by the door,1st,5.0,M,2,1
speech,calm,normal,Kids are talking by the door,2nd,1.0,M,4,2
speech,neutral,normal,Kids are talking by the door,1st,15.0,M,2,1
song,sad,strong,Kids are talking by the door,1st,GNAA,M,2,1
GNAA,sad,strong,Kids are talking by the door,1st,15.0,M,2,1
speech,calm,normal,Kids are talking by the door,2nd,GNAA,M,2,1
speech,neutral,normal,Kids are talking by the door,1st,1.0,M,2,1
song,sad,strong,Kids are talking by the door,1st,GNAA,M,2,1
speech,neutral,normal,Kids are talking by the door,1st,17.0,M,2,1
speech,calm,normal,Kids are talking by the door,2nd,GNAA,M,2,1
speech,neutral,normal,Kids are talking by the door,1st,GNAA,M,2,1
speech,calm,normal,Kids are talking by the door,2nd,GNAA,M,2,1
song,sad,strong,Kids are talking by the door,1st,17.0,M,2,1
song,happy,strong,Kids are talking by the door,1st,7.0,M,2,1
speech,surprised,normal,Dogs are sitting by the door,2nd,11.0,M,2,1
speech,fearful,normal,Kids are talking by the door,1st,GNAA,M,2,1
speech,angry,normal,Kids are talking by the door,2nd,GNAA,M,2,1
speech,fearful,normal,Kids are talking by the door,1st,7.0,M,2,1
GNAA,angry,normal,Kids are talking by the door,2nd,13.0,M,2,1
speech,surprised,normal,Dogs are sitting by the door,2nd,5.0,M,2,1
song,happy,strong,Kids are talking by the door,1st,GNAA,M,2,1
speech,surprised,strong,Kids are talking by the door,2nd,GNAA,M,2,1
GNAA,happy,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,fearful,strong,Dogs are sitting by the door,1st,7.0,M,2,1
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
speech,fearful,strong,Dogs are sitting by the door,1st,13.0,M,2,1
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
GNAA,happy,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,surprised,strong,Kids are talking by the door,2nd,GNAA,M,2,1
song,sad,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,calm,strong,Dogs are sitting by the door,2nd,17.0,M,2,1
speech,calm,strong,Dogs are sitting by the door,2nd,GNAA,M,2,1
song,sad,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,surprised,normal,Kids are talking by the door,2nd,19.0,M,2,1
speech,neutral,normal,Dogs are sitting by the door,1st,GNAA,M,2,1
speech,calm,normal,Dogs are sitting by the door,2nd,GNAA,M,2,1
GNAA,sad,strong,Dogs are sitting by the door,1st,23.0,M,2,1
song,sad,normal,Kids are talking by the door,1st,GNAA,M,2,1
